set_id	syn_set	first_syn	query_long	query_short	query_short_translated	query_long_translated	class_id
n03908714	pencil sharpener	pencil sharpener	a photo of a pencil sharpener	a pencil sharpener	un temperamatite	una foto di un temperamatite	711
n03916031	perfume, essence	perfume	a photo of a perfume	a perfume	un profumo	una foto di un profumo	712
n03920288	Petri dish	Petri dish	a photo of a Petri dish	a Petri dish	una capsula di Petri	una foto di una capsula di Petri	713
n03924679	photocopier	photocopier	a photo of a photocopier	a photocopier	una fotocopiatrice	una foto di una fotocopiatrice	714
n03929660	pick, plectrum, plectron	pick	a photo of a pick	a pick	un grimaldello	una foto di un grimaldello	715
n03929855	pickelhaube	pickelhaube	a photo of a pickelhaube	a pickelhaube	un picconatore	una foto di un picconatore	716
n03930313	picket fence, paling	picket fence	a photo of a picket fence	a picket fence	una staccionata	una foto di una staccionata	717
n03930630	pickup, pickup truck	pickup	a photo of a pickup	a pickup	un prelievo	una foto di un prelievo	718
n03933933	pier	pier	a photo of a pier	a pier	un molo	una foto di un molo	719
n03935335	piggy bank, penny bank	piggy bank	a photo of a piggy bank	a piggy bank	un salvadanaio	una foto di un salvadanaio	720
n03937543	pill bottle	pill bottle	a photo of a pill bottle	a pill bottle	una bottiglia di pillole	una foto di una bottiglia di pillole	721
n03938244	pillow	pillow	a photo of a pillow	a pillow	un cuscino	una foto di un cuscino	722
n03942813	ping-pong ball	ping-pong ball	a photo of a ping-pong ball	a ping-pong ball	una pallina da ping-pong	una foto di una pallina da ping-pong	723
n03944341	pinwheel	pinwheel	a photo of a pinwheel	a pinwheel	una girandola	una foto di una girandola	724
n03947888	pirate, pirate ship	pirate	a photo of a pirate	a pirate	un pirata	una foto di un pirata	725
n03950228	pitcher, ewer	pitcher	a photo of a pitcher	a pitcher	un lanciatore	una foto di un lanciatore	726
n03954731	plane, carpenter's plane, woodworking plane	plane	a photo of a plane	a plane	un aereo	una foto di un aereo	727
n03956157	planetarium	planetarium	a photo of a planetarium	a planetarium	un planetario	una foto di un planetario	728
n03958227	plastic bag	plastic bag	a photo of a plastic bag	a plastic bag	un sacchetto di plastica	una foto di un sacchetto di plastica	729
n03961711	plate rack	plate rack	a photo of a plate rack	a plate rack	un portapiatti	una foto di un portapiatti	730
n03967562	plow, plough	plow	a photo of a plow	a plow	un aratro	una foto di un aratro	731
n03970156	plunger, plumber's helper	plunger	a photo of a plunger	a plunger	uno stantuffo	una foto di uno stantuffo	732
n03976467	Polaroid camera, Polaroid Land camera	Polaroid camera	a photo of a Polaroid camera	a Polaroid camera	una macchina fotografica Polaroid	una foto di una macchina fotografica Polaroid	733
n03976657	pole	pole	a photo of a pole	a pole	un palo	una foto di un palo	734
n03977966	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria	police van	a photo of a police van	a police van	un furgone della polizia	una foto di un furgone della polizia	735
n03980874	poncho	poncho	a photo of a poncho	a poncho	un poncho	una foto di un poncho	736
n03982430	pool table, billiard table, snooker table	pool table	a photo of a pool table	a pool table	un tavolo da biliardo	una foto di un tavolo da biliardo	737
n03983396	pop bottle, soda bottle	pop bottle	a photo of a pop bottle	a pop bottle	una bottiglia pop	una foto di una bottiglia pop	738
n03991062	pot, flowerpot	pot	a photo of a pot	a pot	una pentola	una foto di una pentola	739
n03992509	potter's wheel	potter's wheel	a photo of a potter's wheel	a potter's wheel	un tornio da vasaio	una foto di un tornio da vasaio	740
n03995372	power drill	power drill	a photo of a power drill	a power drill	un trapano elettrico	una foto di un trapano elettrico	741
n03998194	prayer rug, prayer mat	prayer rug	a photo of a prayer rug	a prayer rug	un tappeto di preghiera	una foto di un tappeto di preghiera	742
n04004767	printer	printer	a photo of a printer	a printer	una stampante	una foto di una stampante	743
n04005630	prison, prison house	prison	a photo of a prison	a prison	una prigione	una foto di una prigione	744
n04008634	projectile, missile	projectile	a photo of a projectile	a projectile	un proiettile	una foto di un proiettile	745
n04009552	projector	projector	a photo of a projector	a projector	un proiettore	una foto di un proiettore	746
n04019541	puck, hockey puck	puck	a photo of a puck	a puck	un disco	una foto di un disco	747
n04023962	punching bag, punch bag, punching ball, punchball	punching bag	a photo of a punching bag	a punching bag	un sacco da boxe	una foto di un sacco da boxe	748
n04026417	purse	purse	a photo of a purse	a purse	una borsa	una foto di una borsa	749
n04033901	quill, quill pen	quill	a photo of a quill	a quill	una penna d'oca	una foto di una penna d'oca	750
n04033995	quilt, comforter, comfort, puff	quilt	a photo of a quilt	a quilt	una trapunta	una foto di una trapunta	751
n04037443	racer, race car, racing car	racer	a photo of a racer	a racer	un corridore	una foto di un corridore	752
n04039381	racket, racquet	racket	a photo of a racket	a racket	una racchetta	una foto di una racchetta	753
n04040759	radiator	radiator	a photo of a radiator	a radiator	un radiatore	una foto di un radiatore	754
n04041544	radio, wireless	radio	a photo of a radio	a radio	una radio	una foto di una radio	755
n04044716	radio telescope, radio reflector	radio telescope	a photo of a radio telescope	a radio telescope	un radiotelescopio	una foto di un radiotelescopio	756
n04049303	rain barrel	rain barrel	a photo of a rain barrel	a rain barrel	un barile per la pioggia	una foto di un barile per la pioggia	757
n04065272	recreational vehicle, RV, R.V.	recreational vehicle	a photo of a recreational vehicle	a recreational vehicle	un veicolo ricreativo	una foto di un veicolo ricreativo	758
n04067472	reel	reel	a photo of a reel	a reel	una bobina	una foto di una bobina	759
n04069434	reflex camera	reflex camera	a photo of a reflex camera	a reflex camera	una macchina fotografica reflex	una foto di una macchina fotografica reflex	760
n04070727	refrigerator, icebox	refrigerator	a photo of a refrigerator	a refrigerator	un frigorifero	una foto di un frigorifero	761
n04074963	remote control, remote	remote control	a photo of a remote control	a remote control	un telecomando	una foto di un telecomando	762
n04081281	restaurant, eating house, eating place, eatery	restaurant	a photo of a restaurant	a restaurant	un ristorante	una foto di un ristorante	763
n04086273	revolver, six-gun, six-shooter	revolver	a photo of a revolver	a revolver	un revolver	una foto di un revolver	764
n04090263	rifle	rifle	a photo of a rifle	a rifle	un fucile	una foto di un fucile	765
n04099969	rocking chair, rocker	rocking chair	a photo of a rocking chair	a rocking chair	una sedia a dondolo	una foto di una sedia a dondolo	766
n04111531	rotisserie	rotisserie	a photo of a rotisserie	a rotisserie	un girarrosto	una foto di un girarrosto	767
n04116512	rubber eraser, rubber, pencil eraser	rubber eraser	a photo of a rubber eraser	a rubber eraser	una gomma da cancellare	una foto di una gomma da cancellare	768
n04118538	rugby ball	rugby ball	a photo of a rugby ball	a rugby ball	un pallone da rugby	una foto di un pallone da rugby	769
n04118776	rule, ruler	rule	a photo of a rule	a rule	una regola	una foto di una regola	770
n04120489	running shoe	running shoe	a photo of a running shoe	a running shoe	una scarpa da corsa	una foto di una scarpa da corsa	771
n04125021	safe	safe	a photo of a safe	a safe	una cassaforte	una foto di una cassaforte	772
n04127249	safety pin	safety pin	a photo of a safety pin	a safety pin	una spilla da balia	una foto di una spilla da balia	773
n04131690	saltshaker, salt shaker	saltshaker	a photo of a saltshaker	a saltshaker	una saliera	una foto di una saliera	774
n04133789	sandal	sandal	a photo of a sandal	a sandal	un sandalo	una foto di un sandalo	775
n04136333	sarong	sarong	a photo of a sarong	a sarong	un sarong	una foto di un sarong	776
n04141076	sax, saxophone	sax	a photo of a sax	a sax	un sassofono	una foto di un sassofono	777
n04141327	scabbard	scabbard	a photo of a scabbard	a scabbard	un fodero	una foto di un fodero	778
n04141975	scale, weighing machine	scale	a photo of a scale	a scale	una scala	una foto di una scala	779
n04146614	school bus	school bus	a photo of a school bus	a school bus	uno scuolabus	una foto di uno scuolabus	780
n04147183	schooner	schooner	a photo of a schooner	a schooner	una goletta	una foto di una goletta	781
n04149813	scoreboard	scoreboard	a photo of a scoreboard	a scoreboard	un tabellone segnapunti	una foto di un tabellone segnapunti	782
n04152593	screen, CRT screen	screen	a photo of a screen	a screen	uno schermo	una foto di uno schermo	783
n04153751	screw	screw	a photo of a screw	a screw	una vite	una foto di una vite	784
n04154565	screwdriver	screwdriver	a photo of a screwdriver	a screwdriver	un cacciavite	una foto di un cacciavite	785
n04162706	seat belt, seatbelt	seat belt	a photo of a seat belt	a seat belt	una cintura di sicurezza	una foto di una cintura di sicurezza	786
n04179913	sewing machine	sewing machine	a photo of a sewing machine	a sewing machine	una macchina da cucire	una foto di una macchina da cucire	787
n04192698	shield, buckler	shield	a photo of a shield	a shield	uno scudo	una foto di uno scudo	788
n04200800	shoe shop, shoe-shop, shoe store	shoe shop	a photo of a shoe shop	a shoe shop	un negozio di scarpe	una foto di un negozio di scarpe	789
n04201297	shoji	shoji	a photo of a shoji	a shoji	uno shoji	una foto di uno shoji	790
n04204238	shopping basket	shopping basket	a photo of a shopping basket	a shopping basket	un cestino della spesa	una foto di un cestino della spesa	791
n04204347	shopping cart	shopping cart	a photo of a shopping cart	a shopping cart	un carrello della spesa	una foto di un carrello della spesa	792
n04208210	shovel	shovel	a photo of a shovel	a shovel	una pala	una foto di una pala	793
n04209133	shower cap	shower cap	a photo of a shower cap	a shower cap	una cuffia da doccia	una foto di una cuffia da doccia	794
n04209239	shower curtain	shower curtain	a photo of a shower curtain	a shower curtain	una tenda da doccia	una foto di una tenda da doccia	795
n04228054	ski	ski	a photo of a ski	a ski	uno sci	una foto di uno sci	796
n04229816	ski mask	ski mask	a photo of a ski mask	a ski mask	un passamontagna	una foto di un passamontagna	797
n04235860	sleeping bag	sleeping bag	a photo of a sleeping bag	a sleeping bag	un sacco a pelo	una foto di un sacco a pelo	798
n04238763	slide rule, slipstick	slide rule	a photo of a slide rule	a slide rule	un regolo calcolatore	una foto di un regolo calcolatore	799
n04239074	sliding door	sliding door	a photo of a sliding door	a sliding door	una porta scorrevole	una foto di una porta scorrevole	800
n04243546	slot, one-armed bandit	slot	a photo of a slot	a slot	una fessura	una foto di una fessura	801
n04251144	snorkel	snorkel	a photo of a snorkel	a snorkel	un boccaglio	una foto di un boccaglio	802
n04252077	snowmobile	snowmobile	a photo of a snowmobile	a snowmobile	una motoslitta	una foto di una motoslitta	803
n04252225	snowplow, snowplough	snowplow	a photo of a snowplow	a snowplow	uno spazzaneve	una foto di uno spazzaneve	804
n04254120	soap dispenser	soap dispenser	a photo of a soap dispenser	a soap dispenser	un distributore di sapone	una foto di un distributore di sapone	805
n04254680	soccer ball	soccer ball	a photo of a soccer ball	a soccer ball	un pallone da calcio	una foto di un pallone da calcio	806
n04254777	sock	sock	a photo of a sock	a sock	un calzino	una foto di un calzino	807
n04258138	solar dish, solar collector, solar furnace	solar dish	a photo of a solar dish	a solar dish	un piatto solare	una foto di un piatto solare	808
n04259630	sombrero	sombrero	a photo of a sombrero	a sombrero	un sombrero	una foto di un sombrero	809
n04263257	soup bowl	soup bowl	a photo of a soup bowl	a soup bowl	una ciotola per la zuppa	una foto di una ciotola per la zuppa	810
n04264628	space bar	space bar	a photo of a space bar	a space bar	una barra spaziatrice	una foto di una barra spaziatrice	811
n04265275	space heater	space heater	a photo of a space heater	a space heater	una stufa per ambienti	una foto di una stufa per ambienti	812
n04266014	space shuttle	space shuttle	a photo of a space shuttle	a space shuttle	una navetta spaziale	una foto di una navetta spaziale	813
n04270147	spatula	spatula	a photo of a spatula	a spatula	una spatola	una foto di una spatola	814
n04273569	speedboat	speedboat	a photo of a speedboat	a speedboat	un motoscafo	una foto di un motoscafo	815
n04275548	spider web, spider's web	spider web	a photo of a spider web	a spider web	una ragnatela	una foto di una ragnatela	816
n04277352	spindle	spindle	a photo of a spindle	a spindle	un mandrino	una foto di un mandrino	817
n04285008	sports car, sport car	sports car	a photo of a sports car	a sports car	un'auto sportiva	una foto di un'auto sportiva	818
n04286575	spotlight, spot	spotlight	a photo of a spotlight	a spotlight	un riflettore	una foto di un riflettore	819
n04296562	stage	stage	a photo of a stage	a stage	una fase	una foto di una fase	820
n04310018	steam locomotive	steam locomotive	a photo of a steam locomotive	a steam locomotive	una locomotiva a vapore	una foto di una locomotiva a vapore	821
n04311004	steel arch bridge	steel arch bridge	a photo of a steel arch bridge	a steel arch bridge	un ponte ad arco in acciaio	una foto di un ponte ad arco in acciaio	822
n04311174	steel drum	steel drum	a photo of a steel drum	a steel drum	un tamburo d'acciaio	una foto di un tamburo d'acciaio	823
n04317175	stethoscope	stethoscope	a photo of a stethoscope	a stethoscope	uno stetoscopio	una foto di uno stetoscopio	824
n04325704	stole	stole	a photo of a stole	a stole	una stola	una foto di una stola	825
n04326547	stone wall	stone wall	a photo of a stone wall	a stone wall	un muro di pietra	una foto di un muro di pietra	826
n04328186	stopwatch, stop watch	stopwatch	a photo of a stopwatch	a stopwatch	un cronometro	una foto di un cronometro	827
n04330267	stove	stove	a photo of a stove	a stove	una stufa	una foto di una stufa	828
n04332243	strainer	strainer	a photo of a strainer	a strainer	un colino	una foto di un colino	829
n04335435	streetcar, tram, tramcar, trolley, trolley car	streetcar	a photo of a streetcar	a streetcar	un tram	una foto di un tram	830
n04336792	stretcher	stretcher	a photo of a stretcher	a stretcher	una barella	una foto di una barella	831
n04344873	studio couch, day bed	studio couch	a photo of a studio couch	a studio couch	un divano da studio	una foto di un divano da studio	832
n04346328	stupa, tope	stupa	a photo of a stupa	a stupa	uno stupa	una foto di uno stupa	833
n04347754	submarine, pigboat, sub, U-boat	submarine	a photo of a submarine	a submarine	un sottomarino	una foto di un sottomarino	834
n04350905	suit, suit of clothes	suit	a photo of a suit	a suit	un vestito	una foto di un vestito	835
n04355338	sundial	sundial	a photo of a sundial	a sundial	una meridiana	una foto di una meridiana	836
n04355933	sunglass	sunglass	a photo of a sunglass	a sunglass	un occhiale da sole	una foto di un occhiale da sole	837
n04356056	sunglasses, dark glasses, shades	sunglasses	a photo of a sunglasses	a sunglasses	occhiali da sole	una foto di occhiali da sole	838
n04357314	sunscreen, sunblock, sun blocker	sunscreen	a photo of a sunscreen	a sunscreen	una protezione solare	una foto di una protezione solare	839
n04366367	suspension bridge	suspension bridge	a photo of a suspension bridge	a suspension bridge	un ponte sospeso	una foto di un ponte sospeso	840
n04367480	swab, swob, mop	swab	a photo of a swab	a swab	un tampone	una foto di un tampone	841
n04370456	sweatshirt	sweatshirt	a photo of a sweatshirt	a sweatshirt	una felpa	una foto di una felpa	842
n04371430	swimming trunks, bathing trunks	swimming trunks	a photo of a swimming trunks	a swimming trunks	un costume da bagno	una foto di un costume da bagno	843
n04371774	swing	swing	a photo of a swing	a swing	un'altalena	una foto di un'altalena	844
n04372370	switch, electric switch, electrical switch	switch	a photo of a switch	a switch	un interruttore	una foto di un interruttore	845
n04376876	syringe	syringe	a photo of a syringe	a syringe	una siringa	una foto di una siringa	846
n04380533	table lamp	table lamp	a photo of a table lamp	a table lamp	una lampada da tavolo	una foto di una lampada da tavolo	847
n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle	tank	a photo of a tank	a tank	un carro armato	una foto di un carro armato	848
n04392985	tape player	tape player	a photo of a tape player	a tape player	un lettore di nastri	una foto di un lettore di nastri	849
n04398044	teapot	teapot	a photo of a teapot	a teapot	una teiera	una foto di una teiera	850
n04399382	teddy, teddy bear	teddy	a photo of a teddy	a teddy	un orsacchiotto	una foto di un orsacchiotto	851
n04404412	television, television system	television	a photo of a television	a television	una televisione	una foto di una televisione	852
n04409515	tennis ball	tennis ball	a photo of a tennis ball	a tennis ball	una palla da tennis	una foto di una palla da tennis	853
n04417672	thatch, thatched roof	thatch	a photo of a thatch	a thatch	una paglia	una foto di una paglia	854
n04418357	theater curtain, theatre curtain	theater curtain	a photo of a theater curtain	a theater curtain	un sipario teatrale	una foto di un sipario teatrale	855
n04423845	thimble	thimble	a photo of a thimble	a thimble	un ditale	una foto di un ditale	856
n04428191	thresher, thrasher, threshing machine	thresher	a photo of a thresher	a thresher	una trebbiatrice	una foto di una trebbiatrice	857
n04429376	throne	throne	a photo of a throne	a throne	un trono	una foto di un trono	858
n04435653	tile roof	tile roof	a photo of a tile roof	a tile roof	un tetto di tegole	una foto di un tetto di tegole	859
n04442312	toaster	toaster	a photo of a toaster	a toaster	un tostapane	una foto di un tostapane	860
n04443257	tobacco shop, tobacconist shop, tobacconist	tobacco shop	a photo of a tobacco shop	a tobacco shop	un negozio di tabacco	una foto di un negozio di tabacco	861
n04447861	toilet seat	toilet seat	a photo of a toilet seat	a toilet seat	un sedile del water	una foto di un sedile del water	862
n04456115	torch	torch	a photo of a torch	a torch	una torcia	una foto di una torcia	863
n04458633	totem pole	totem pole	a photo of a totem pole	a totem pole	un totem	una foto di un totem	864
n04461696	tow truck, tow car, wrecker	tow truck	a photo of a tow truck	a tow truck	un carro attrezzi	una foto di un carro attrezzi	865
n04462240	toyshop	toyshop	a photo of a toyshop	a toyshop	un negozio di giocattoli	una foto di un negozio di giocattoli	866
n04465501	tractor	tractor	a photo of a tractor	a tractor	un trattore	una foto di un trattore	867
n04467665	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi	trailer truck	a photo of a trailer truck	a trailer truck	un camion con rimorchio	una foto di un camion con rimorchio	868
n04476259	tray	tray	a photo of a tray	a tray	un vassoio	una foto di un vassoio	869
n04479046	trench coat	trench coat	a photo of a trench coat	a trench coat	un trench	una foto di un trench	870
n04482393	tricycle, trike, velocipede	tricycle	a photo of a tricycle	a tricycle	un triciclo	una foto di un triciclo	871
n04483307	trimaran	trimaran	a photo of a trimaran	a trimaran	un trimarano	una foto di un trimarano	872
n04485082	tripod	tripod	a photo of a tripod	a tripod	un treppiede	una foto di un treppiede	873
n04486054	triumphal arch	triumphal arch	a photo of a triumphal arch	a triumphal arch	un arco di trionfo	una foto di un arco di trionfo	874
n04487081	trolleybus, trolley coach, trackless trolley	trolleybus	a photo of a trolleybus	a trolleybus	un filobus	una foto di un filobus	875
n04487394	trombone	trombone	a photo of a trombone	a trombone	un trombone	una foto di un trombone	876
n04493381	tub, vat	tub	a photo of a tub	a tub	una vasca da bagno	una foto di una vasca da bagno	877
n04501370	turnstile	turnstile	a photo of a turnstile	a turnstile	un tornello	una foto di un tornello	878
n04505470	typewriter keyboard	typewriter keyboard	a photo of a typewriter keyboard	a typewriter keyboard	una tastiera per macchina da scrivere	una foto di una tastiera per macchina da scrivere	879
n04507155	umbrella	umbrella	a photo of a umbrella	a umbrella	un ombrello	una foto di un ombrello	880
n04509417	unicycle, monocycle	unicycle	a photo of a unicycle	a unicycle	un monociclo	una foto di un monociclo	881
n04515003	upright, upright piano	upright	a photo of a upright	a upright	un montante	una foto di un montante	882
n04517823	vacuum, vacuum cleaner	vacuum	a photo of a vacuum	a vacuum	un vuoto	una foto di un vuoto	883
n04522168	vase	vase	a photo of a vase	a vase	un vaso	una foto di un vaso	884
n04523525	vault	vault	a photo of a vault	a vault	una volta	una foto di una volta	885
n04525038	velvet	velvet	a photo of a velvet	a velvet	un velluto	una foto di un velluto	886
n04525305	vending machine	vending machine	a photo of a vending machine	a vending machine	un distributore automatico	una foto di un distributore automatico	887
n04532106	vestment	vestment	a photo of a vestment	a vestment	un paramento	una foto di un paramento	888
n04532670	viaduct	viaduct	a photo of a viaduct	a viaduct	un viadotto	una foto di un viadotto	889
n04536866	violin, fiddle	violin	a photo of a violin	a violin	un violino	una foto di un violino	890
n04540053	volleyball	volleyball	a photo of a volleyball	a volleyball	una pallavolo	una foto di una pallavolo	891
n04542943	waffle iron	waffle iron	a photo of a waffle iron	a waffle iron	una piastra per cialde	una foto di una piastra per cialde	892
n04548280	wall clock	wall clock	a photo of a wall clock	a wall clock	un orologio da parete	una foto di un orologio da parete	893
n04548362	wallet, billfold, notecase, pocketbook	wallet	a photo of a wallet	a wallet	un portafoglio	una foto di un portafoglio	894
n04550184	wardrobe, closet, press	wardrobe	a photo of a wardrobe	a wardrobe	un armadio	una foto di un armadio	895
n04552348	warplane, military plane	warplane	a photo of a warplane	a warplane	un aereo da guerra	una foto di un aereo da guerra	896
n04553703	washbasin, handbasin, washbowl, lavabo, wash-hand basin	washbasin	a photo of a washbasin	a washbasin	un lavandino	una foto di un lavandino	897
n04554684	washer, automatic washer, washing machine	washer	a photo of a washer	a washer	una rondella	una foto di una rondella	898
n04557648	water bottle	water bottle	a photo of a water bottle	a water bottle	una bottiglia d'acqua	una foto di una bottiglia d'acqua	899
n04560804	water jug	water jug	a photo of a water jug	a water jug	una brocca d'acqua	una foto di una brocca d'acqua	900
n04562935	water tower	water tower	a photo of a water tower	a water tower	una torre d'acqua	una foto di una torre d'acqua	901
n04579145	whiskey jug	whiskey jug	a photo of a whiskey jug	a whiskey jug	una brocca di whisky	una foto di una brocca di whisky	902
n04579432	whistle	whistle	a photo of a whistle	a whistle	un fischio	una foto di un fischio	903
n04584207	wig	wig	a photo of a wig	a wig	una parrucca	una foto di una parrucca	904
n04589890	window screen	window screen	a photo of a window screen	a window screen	uno schermo per finestre	una foto di uno schermo per finestre	905
n04590129	window shade	window shade	a photo of a window shade	a window shade	una tenda per finestre	una foto di una tenda per finestre	906
n04591157	Windsor tie	Windsor tie	a photo of a Windsor tie	a Windsor tie	una cravatta Windsor	una foto di una cravatta Windsor	907
n04591713	wine bottle	wine bottle	a photo of a wine bottle	a wine bottle	una bottiglia di vino	una foto di una bottiglia di vino	908
n04592741	wing	wing	a photo of a wing	a wing	un'ala	una foto di un'ala	909
n04596742	wok	wok	a photo of a wok	a wok	un wok	una foto di un wok	910
n04597913	wooden spoon	wooden spoon	a photo of a wooden spoon	a wooden spoon	un cucchiaio di legno	una foto di un cucchiaio di legno	911
n04599235	wool, woolen, woollen	wool	a photo of a wool	a wool	una lana	una foto di una lana	912
n04604644	worm fence, snake fence, snake-rail fence, Virginia fence	worm fence	a photo of a worm fence	a worm fence	un recinto di vermi	una foto di un recinto di vermi	913
n04606251	wreck	wreck	a photo of a wreck	a wreck	un relitto	una foto di un relitto	914
n04612504	yawl	yawl	a photo of a yawl	a yawl	uno yawl	una foto di uno yawl	915
n04613696	yurt	yurt	a photo of a yurt	a yurt	una yurta	una foto di una yurta	916
n06359193	web site, website, internet site, site	web site	a photo of a web site	a web site	un sito web	una foto di un sito web	917
n06596364	comic book	comic book	a photo of a comic book	a comic book	un fumetto	una foto di un fumetto	918
n06785654	crossword puzzle, crossword	crossword puzzle	a photo of a crossword puzzle	a crossword puzzle	un cruciverba	una foto di un cruciverba	919
n06794110	street sign	street sign	a photo of a street sign	a street sign	un cartello stradale	una foto di un cartello stradale	920
n06874185	traffic light, traffic signal, stoplight	traffic light	a photo of a traffic light	a traffic light	un semaforo	una foto di un semaforo	921
n07248320	book jacket, dust cover, dust jacket, dust wrapper	book jacket	a photo of a book jacket	a book jacket	una giacca del libro	una foto di una giacca del libro	922
n07565083	menu	menu	a photo of a menu	a menu	un menu	una foto di un menu	923
n07579787	plate	plate	a photo of a plate	a plate	un piatto	una foto di un piatto	924
n07583066	guacamole	guacamole	a photo of a guacamole	a guacamole	un guacamole	una foto di un guacamole	925
n07584110	consomme	consomme	a photo of a consomme	a consomme	un consomme	una foto di un consomme	926
n07590611	hot pot, hotpot	hot pot	a photo of a hot pot	a hot pot	una pentola calda	una foto di una pentola calda	927
n07613480	trifle	trifle	a photo of a trifle	a trifle	un'inezia	una foto di un'inezia	928
n07614500	ice cream, icecream	ice cream	a photo of a ice cream	a ice cream	un gelato	una foto di un gelato	929
n07615774	ice lolly, lolly, lollipop, popsicle	ice lolly	a photo of a ice lolly	a ice lolly	un ghiacciolo	una foto di un ghiacciolo	930
n07684084	French loaf	French loaf	a photo of a French loaf	a French loaf	una pagnotta francese	una foto di una pagnotta francese	931
n07693725	bagel, beigel	bagel	a photo of a bagel	a bagel	un bagel	una foto di un bagel	932
n07695742	pretzel	pretzel	a photo of a pretzel	a pretzel	un pretzel	una foto di un pretzel	933
n07697313	cheeseburger	cheeseburger	a photo of a cheeseburger	a cheeseburger	un cheeseburger	una foto di un cheeseburger	934
n07697537	hotdog, hot dog, red hot	hotdog	a photo of a hotdog	a hotdog	un hotdog	una foto di un hotdog	935
n07711569	mashed potato	mashed potato	a photo of a mashed potato	a mashed potato	un purè di patate	una foto di un purè di patate	936
n07714571	head cabbage	head cabbage	a photo of a head cabbage	a head cabbage	una testa di cavolo	una foto di una testa di cavolo	937
n07714990	broccoli	broccoli	a photo of a broccoli	a broccoli	un broccolo	una foto di un broccolo	938
n07715103	cauliflower	cauliflower	a photo of a cauliflower	a cauliflower	un cavolfiore	una foto di un cavolfiore	939
n07716358	zucchini, courgette	zucchini	a photo of a zucchini	a zucchini	una zucchina	una foto di una zucchina	940
n07716906	spaghetti squash	spaghetti squash	a photo of a spaghetti squash	a spaghetti squash	una zucca per spaghetti	una foto di una zucca per spaghetti	941
n07717410	acorn squash	acorn squash	a photo of a acorn squash	a acorn squash	una zucca	una foto di una zucca	942
n07717556	butternut squash	butternut squash	a photo of a butternut squash	a butternut squash	una zucca butternut	una foto di una zucca butternut	943
n07718472	cucumber, cuke	cucumber	a photo of a cucumber	a cucumber	un cetriolo	una foto di un cetriolo	944
n07718747	artichoke, globe artichoke	artichoke	a photo of a artichoke	a artichoke	un carciofo	una foto di un carciofo	945
n07720875	bell pepper	bell pepper	a photo of a bell pepper	a bell pepper	un peperone	una foto di un peperone	946
n07730033	cardoon	cardoon	a photo of a cardoon	a cardoon	un cardo	una foto di un cardo	947
n07734744	mushroom	mushroom	a photo of a mushroom	a mushroom	un fungo	una foto di un fungo	948
n07742313	Granny Smith	Granny Smith	a photo of a Granny Smith	a Granny Smith	una Granny Smith	una foto di una Granny Smith	949
n07745940	strawberry	strawberry	a photo of a strawberry	a strawberry	una fragola	una foto di una fragola	950
n07747607	orange	orange	a photo of a orange	a orange	un'arancia	una foto di un'arancia	951
n07749582	lemon	lemon	a photo of a lemon	a lemon	un limone	una foto di un limone	952
n07753113	fig	fig	a photo of a fig	a fig	un fico	una foto di un fico	953
n07753275	pineapple, ananas	pineapple	a photo of a pineapple	a pineapple	un ananas	una foto di un ananas	954
n07753592	banana	banana	a photo of a banana	a banana	una banana	una foto di una banana	955
n07754684	jackfruit, jak, jack	jackfruit	a photo of a jackfruit	a jackfruit	un jackfruit	una foto di un jackfruit	956
n07760859	custard apple	custard apple	a photo of a custard apple	a custard apple	una mela custard	una foto di una mela custard	957
n07768694	pomegranate	pomegranate	a photo of a pomegranate	a pomegranate	un melograno	una foto di un melograno	958
n07802026	hay	hay	a photo of a hay	a hay	un fieno	una foto di un fieno	959
n07831146	carbonara	carbonara	a photo of a carbonara	a carbonara	una carbonara	una foto di una carbonara	960
n07836838	chocolate sauce, chocolate syrup	chocolate sauce	a photo of a chocolate sauce	a chocolate sauce	una salsa al cioccolato	una foto di una salsa al cioccolato	961
n07860988	dough	dough	a photo of a dough	a dough	un impasto	una foto di un impasto	962
n07871810	meat loaf, meatloaf	meat loaf	a photo of a meat loaf	a meat loaf	un polpettone	una foto di un polpettone	963
n07873807	pizza, pizza pie	pizza	a photo of a pizza	a pizza	una pizza	una foto di una pizza	964
n07875152	potpie	potpie	a photo of a potpie	a potpie	una torta salata	una foto di una torta salata	965
n07880968	burrito	burrito	a photo of a burrito	a burrito	un burrito	una foto di un burrito	966
n07892512	red wine	red wine	a photo of a red wine	a red wine	un vino rosso	una foto di un vino rosso	967
n07920052	espresso	espresso	a photo of a espresso	a espresso	un espresso	una foto di un espresso	968
n07930864	cup	cup	a photo of a cup	a cup	una tazza	una foto di una tazza	969
n07932039	eggnog	eggnog	a photo of a eggnog	a eggnog	uno zabaione	una foto di uno zabaione	970
n09193705	alp	alp	a photo of a alp	a alp	a alpe	una foto di a alpe	971
n09229709	bubble	bubble	a photo of a bubble	a bubble	una bolla	una foto di una bolla	972
n09246464	cliff, drop, drop-off	cliff	a photo of a cliff	a cliff	una scogliera	una foto di una scogliera	973
n09256479	coral reef	coral reef	a photo of a coral reef	a coral reef	una barriera corallina	una foto di una barriera corallina	974
n09288635	geyser	geyser	a photo of a geyser	a geyser	un geyser	una foto di un geyser	975
